8/1/21 2:52,8/1/21 3:00,8/1/21 3:08,8/1/21 3:35,0:08,0:07,0:27,279,50,6738,Mountain View,TRUE,16.33,0,0.82,0
8/13/21 15:58,8/13/21 17:56,8/13/21 18:24,8/13/21 18:57,1:57,0:27,0:32,303,96,64746,Palo Alto,TRUE,76.14,0,6.45,0
8/17/21 19:02,8/17/21 19:12,8/17/21 19:19,8/17/21 19:31,0:10,0:07,0:11,212,190,12484,San Jose,TRUE,16.77,6,2.52,0
8/12/21 4:01,8/12/21 4:08,8/12/21 4:13,8/12/21 4:37,0:06,0:04,0:24,352,194,13920,San Jose,TRUE,25.03,0,5,0
8/8/21 23:46,8/8/21 23:49,8/8/21 23:54,8/9/21 0:37,0:02,0:04,0:42,313,9,7037,Palo Alto,TRUE,51.57,0,5.16,0
8/12/21 3:54,8/12/21 3:57,8/12/21 4:10,8/12/21 4:41,0:03,0:12,0:30,314,350,95392,Palo Alto,TRUE,16.17,6,0.93,0
8/12/21 4:14,8/12/21 4:14,8/12/21 4:25,8/12/21 4:53,0:00,0:10,0:27,154,27,7426,Palo Alto,TRUE,48.79,0,5.9,0
8/12/21 4:20,8/12/21 4:20,8/12/21 4:26,8/12/21 5:04,0:00,0:06,0:37,315,107,95797,Palo Alto,TRUE,35.74,6,1.36,0
8/5/21 1:41,8/5/21 2:07,8/5/21 2:11,8/5/21 2:30,0:25,0:04,0:18,248,212,2122,Mountain View,TRUE,18.29,0,1.69,0
8/2/21 20:13,8/2/21 20:15,8/2/21 20:33,8/2/21 21:01,0:02,0:17,0:28,160,309,12831,San Jose,TRUE,18.51,0,2.78,0
8/13/21 17:55,8/13/21 19:09,8/13/21 19:24,8/13/21 19:29,1:13,0:14,0:05,222,62,5548,Palo Alto,FALSE,20.08,0,0.64,0
8/5/21 20:50,8/5/21 20:56,8/5/21 21:17,8/5/21 21:45,0:05,0:20,0:28,216,249,15607,Palo Alto,TRUE,42.81,12,4.28,0
8/12/21 17:47,8/12/21 17:47,8/12/21 18:40,8/12/21 18:57,0:00,0:52,0:16,222,47,10512,Palo Alto,FALSE,22.86,0,0,0
8/13/21 2:14,8/13/21 2:32,8/13/21 2:44,8/13/21 3:15,0:18,0:11,0:31,334,131,97331,San Jose,TRUE,17.96,6,0,0
8/6/21 2:23,8/6/21 2:29,8/6/21 2:38,8/6/21 2:59,0:06,0:08,0:21,341,27,8377,Palo Alto,TRUE,24.98,0,1.25,0
8/17/21 1:03,8/17/21 1:19,8/17/21 1:52,8/17/21 2:02,0:15,0:32,0:10,189,125,10893,San Jose,TRUE,23.4,0,2.34,0
8/12/21 18:23,8/12/21 18:49,8/12/21 19:07,8/12/21 19:23,0:25,0:17,0:16,208,23,3891,Mountain View,FALSE,121.08,0,15.04,0
8/18/21 1:04,8/18/21 1:07,8/18/21 1:20,8/18/21 1:47,0:03,0:13,0:27,109,320,60623,San Jose,TRUE,33.02,0,3.3,0
8/28/21 19:10,8/28/21 19:30,8/28/21 19:42,8/28/21 20:10,0:20,0:12,0:28,299,242,37469,Mountain View,TRUE,46.07,6,4.61,0
8/1/21 1:16,8/1/21 1:18,8/1/21 1:53,8/1/21 2:04,0:01,0:35,0:11,154,20,42065,Palo Alto,TRUE,62.33,6,9.35,0
8/12/21 2:22,8/12/21 2:25,8/12/21 2:44,8/12/21 3:09,0:02,0:19,0:24,275,232,12385,Palo Alto,TRUE,38.63,0,1.93,0
8/13/21 0:20,8/13/21 0:20,8/13/21 0:27,8/13/21 1:06,0:00,0:07,0:38,125,107,47423,Palo Alto,TRUE,72.77,0,15,0
8/29/21 0:41,8/29/21 1:00,8/29/21 1:20,8/29/21 1:37,0:19,0:19,0:16,168,355,42343,San Jose,TRUE,40.64,0,0,0
8/6/21 2:11,8/6/21 2:30,8/6/21 2:39,8/6/21 3:24,0:18,0:09,0:44,281,80,47426,Palo Alto,TRUE,46.22,6,2.31,0
8/13/21 23:22,8/13/21 23:32,8/13/21 23:57,8/14/21 0:21,0:10,0:25,0:23,267,9,13631,Palo Alto,FALSE,84.79,0,10.86,0
8/1/21 2:36,8/1/21 2:37,8/1/21 2:54,8/1/21 3:10,0:01,0:17,0:15,204,55,11542,Mountain View,TRUE,35.8,0,1.79,0
